Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Antonio Adan,Atletico Madrid,25,0,0,0,0
Aritz Aduriz,Athletic Club,208,1,0,3,0
Lumor Agbenyenu,Mallorca,1805,1,0,5,1
Martin Agirregabiria,Alaves,2099,1,1,5,1
Joseph Aidoo,Celta Vigo,2502,0,1,4,0
Jordi Alba,Barcelona,2187,2,5,7,0
Raul Albiol,Villarreal,3237,1,0,9,0
Paco Alcacer,Villarreal,924,4,1,1,0
Ruben Alcaraz,Valladolid,1927,2,2,10,0
Alex Alegria,Mallorca,109,0,0,0,0
Carles Alenha,Betis,735,1,0,1,0
Carles Alenha,Barcelona,172,0,0,0,0
Sergio Alvarez,Eibar,1147,0,0,6,0
Sergio Alvarez,Celta Vigo,180,0,0,3,0
Yeray Alvarez,Athletic Club,2810,0,0,2,0
Ibrahim Amadou,Leganes,770,0,0,2,0
Amath,Getafe,66,0,0,0,0
Miguel Angel Guerrero,Leganes,790,1,0,0,0
Miguel Angel Moya,Real Sociedad,1170,0,0,0,0
Jose Angel,Eibar,2360,1,1,4,0
Antonhito,Valladolid,1029,0,0,1,0
Vitorino Antunes,Getafe,6,0,0,0,0
Anuar,Valladolid,189,0,0,1,0
Mauro Arambarri,Getafe,3069,1,1,11,1
Nestor Araujo,Celta Vigo,2888,1,2,10,0
Ronald Araujo,Barcelona,238,0,0,0,1
Anaitz Arbilla,Eibar,2007,1,0,5,0
Alphonse Areola,Real Madrid,360,0,0,1,0
Santiago Arias,Atletico Madrid,1076,0,1,1,0
Jose Arnaiz,Osasuna,791,2,1,2,0
Jose Arnaiz,Leganes,337,0,0,2,0
Sergio Asenjo,Villarreal,3060,0,0,2,0
Marco Asensio,Real Madrid,336,3,1,0,0
Iago Aspas,Celta Vigo,3262,14,3,9,0
Roger Assale,Leganes,531,2,1,1,0
Miguel Atienza,Eibar,30,0,0,0,0
Ezequiel Avila,Osasuna,1591,9,2,6,0
Javier Aviles,Leganes,184,1,1,1,0
Chidozie Awaziem,Leganes,1997,0,0,10,0
Ramon Azeez,Granada,1361,2,0,3,0
Iddrisu Baba,Mallorca,2903,0,0,6,0
Carlos Bacca,Villarreal,688,2,1,1,0
Alejandro Baena,Villarreal,15,0,0,0,0
Gareth Bale,Real Madrid,1089,2,2,4,1
Mikel Balenziaga,Athletic Club,563,0,0,1,0
